Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #8152
Sample Name,α-D-Glucose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),1.0453
Water Temp (deg C),24.10
Room Temp (deg C),23.28
Water Volume (L),2.0
Wire Before (g),0.030
Wire After (g),0.022
=====,=====
Time (s), Temperature (C)
0.00,24.10
60.00,24.10
120.00,24.10
180.00,24.09
240.00,24.09
300.00,24.09
315.00,24.10
330.00,24.23
345.00,24.44
360.00,24.64
375.00,24.83
390.00,24.99
405.00,25.12
420.00,25.22
435.00,25.31
450.00,25.37
465.00,25.41
480.00,25.45
540.00,25.53
600.00,25.54
660.00,25.54
720.00,25.54
780.00,25.53
840.00,25.53
900.00,25.53
960.00,25.53
1020.00,25.52
1080.00,25.52
